Entry,Gene Names,Protein names,Tissue specificity
O14733,MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4,Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2),"TISSUE SPECIFICITY: Ubiquitous; with highest level of expression in skeletal muscle. Isoform 3 is found at low levels in placenta, fetal liver, and skeletal muscle. {ECO:0000269|PubMed:16442502, ECO:0000269|PubMed:9372971, ECO:0000269|PubMed:9535930}."
Q9NYL2,MAP3K20 MLK7 MLTK ZAK HCCS4,Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase 7) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK),"TISSUE SPECIFICITY: Ubiquitously expressed. Isoform ZAKbeta is the predominant form in all tissues examined, except for liver, in which isoform ZAKalpha is more highly expressed. {ECO:0000269|PubMed:10924358, ECO:0000269|PubMed:11836244}."
Q96QP1,ALPK1 KIAA1527 LAK,Alpha-protein kinase 1 (EC 2.7.11.1) (Chromosome 4 kinase) (Lymphocyte alpha-protein kinase),"TISSUE SPECIFICITY: Highly expressed in liver. Expressed in the optic nerve and retinal pigmented epithelium. Lower expression is observed in the macula and extramacular retina (PubMed:30967659). {ECO:0000269|PubMed:10819331, ECO:0000269|PubMed:30967659}."
O43781,DYRK3,Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1) (Regulatory erythroid kinase) (REDK),"TISSUE SPECIFICITY: Isoform 1: Highly expressed in testis and in hematopoietic tissue such as fetal liver, and bone marrow (PubMed:10779429). Isoform 1: Predominant form in fetal liver and bone marrow (PubMed:10779429). Isoform 1: Present at low levels in heart, pancreas, lymph node and thymus (PubMed:10779429). Isoform 2: Highly expressed in testis and in hematopoietic tissue such as fetal liver, and bone marrow (PubMed:10779429). Isoform 2: Predominant form in testis. Isoform 2: Present at low levels in heart, pancreas, lymph node and thymus (PubMed:10779429). {ECO:0000269|PubMed:10779429}."
P52564,MAP2K6 MEK6 MKK6 PRKMK6 SKK3,Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3),"TISSUE SPECIFICITY: Isoform 2 is only expressed in skeletal muscle. Isoform 1 is expressed in skeletal muscle, heart, and in lesser extent in liver or pancreas. {ECO:0000269|PubMed:8621675}."
Q8N2I9,STK40 SGK495 SHIK,Serine/threonine-protein kinase 40 (EC 2.7.11.1) (SINK-homologous serine/threonine-protein kinase) (Sugen kinase 495) (SgK495),"TISSUE SPECIFICITY: Strongly expressed in heart, brain, placenta, lung, skeletal muscle, kidney, spleen, thymus, prostate, liver, pancreas, testis, ovary, small intestine, colon and peripheral blood leukocytes. {ECO:0000269|PubMed:13679039}."
O43252,PAPSS1 ATPSK1 PAPSS,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)],"TISSUE SPECIFICITY: Expressed in testis, pancreas, kidney, thymus, prostate, ovary, small intestine, colon, leukocytes and liver. Also expressed in high endothelial venules (HEV) cells and in cartilage. {ECO:0000269|PubMed:9576487}."
Q8TDX7,NEK7,Serine/threonine-protein kinase Nek7 (EC 2.7.11.34) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7),"TISSUE SPECIFICITY: Highly expressed in lung, muscle, testis, brain, heart, liver, leukocyte and spleen. Lower expression in ovary, prostate and kidney. No expression seen in small intestine. {ECO:0000269|PubMed:11701951}."
P49674,CSNK1E,Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1),"TISSUE SPECIFICITY: Expressed in all tissues examined, including brain, heart, lung, liver, pancreas, kidney, placenta and skeletal muscle. Expressed in monocytes and lymphocytes but not in granulocytes."
Q8IVH8,MAP4K3 RAB8IPL1,Mitogen-activated protein kinase kinase kinase kinase 3 (EC 2.7.11.1) (Germinal center kinase-related protein kinase) (GLK) (MAPK/ERK kinase kinase kinase 3) (MEK kinase kinase 3) (MEKKK 3),"TISSUE SPECIFICITY: Ubiquitously expressed in all tissues examined, with high levels in heart, brain, placenta, skeletal muscle, kidney and pancreas and lower levels in lung and liver. {ECO:0000269|PubMed:9275185}."
O15530,PDPK1 PDK1,3-phosphoinositide-dependent protein kinase 1 (hPDK1) (EC 2.7.11.1),"TISSUE SPECIFICITY: Appears to be expressed ubiquitously. The Tyr-9 phosphorylated form is markedly increased in diseased tissue compared with normal tissue from lung, liver, colon and breast. {ECO:0000269|PubMed:18024423}."
Q13535,ATR FRP1,Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1),"TISSUE SPECIFICITY: Ubiquitous, with highest expression in testis. {ECO:0000269|PubMed:11470508, ECO:0000269|PubMed:8610130, ECO:0000269|PubMed:8843195}.; TISSUE SPECIFICITY: [Isoform 2]: Isoform 2 is found in pancreas, placenta and liver but not in heart, testis and ovary. {ECO:0000269|PubMed:11470508}."
O00746,NME4 NM23D,"Nucleoside diphosphate kinase D, mitochondrial (NDPK-D) (EC 2.7.4.6) (Nucleoside diphosphate kinase 4) (NDK4) (nm23-H4)","TISSUE SPECIFICITY: Widely distributed. Found at very high levels in prostate, heart, liver, small intestine, and skeletal muscle tissues, and in low amounts in the brain and in blood leukocytes."
O94804,STK10 LOK,Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase),"TISSUE SPECIFICITY: Highly expressed in rapidly proliferating tissues (spleen, placenta, and peripheral blood leukocytes). Also expressed in brain, heart, skeletal muscle, colon, thymus, kidney, liver, small intestine and lung. {ECO:0000269|PubMed:12639966}."
Q8TCT0,CERK KIAA1646,Ceramide kinase (hCERK) (EC 2.7.1.138) (Acylsphingosine kinase) (Lipid kinase 4) (LK4),"TISSUE SPECIFICITY: High level expression in heart, brain, skeletal muscle, kidney and liver; moderate in peripheral blood leukocytes and thymus; very low in spleen, small intestine, placenta and lung. {ECO:0000269|PubMed:11956206}."
Q9NPI5,NMRK2 ITGB1BP3 NRK2,Nicotinamide riboside kinase 2 (NRK 2) (NmR-K 2) (EC 2.7.1.22) (Integrin beta-1-binding protein 3) (Muscle integrin-binding protein) (MIBP) (Nicotinic acid riboside kinase 2) (EC 2.7.1.173) (Ribosylnicotinamide kinase 2) (RNK 2) (Ribosylnicotinic acid kinase 2),"TISSUE SPECIFICITY: Predominantly expressed in skeletal muscle and, at a much lower level, in the heart (at protein level). No expression in brain, kidney, liver, lung, pancreas nor placenta. {ECO:0000269|PubMed:10613898}."
O15075,DCLK1 DCAMKL1 DCDC3A KIAA0369,Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1),"TISSUE SPECIFICITY: In fetal tissues, highly expressed in brain, detectable in lung and liver, but not in kidney. In adult tissues, expressed ubiquitously in the brain, detectable in the heart, liver, spleen, thymus, prostate, testis, ovary, small intestine and colon. The type A isoforms seem to be expressed predominantly in fetal brain whereas type B isoforms are expressed abundantly in both fetal and adult brain. {ECO:0000269|PubMed:10051403}."
Q15119,PDK2 PDHK2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 2) (PDH kinase 2) (PDKII)","TISSUE SPECIFICITY: Expressed in many tissues, with the highest level in heart and skeletal muscle, intermediate levels in brain, kidney, pancreas and liver, and low levels in placenta and lung. {ECO:0000269|PubMed:7499431}."
Q96L34,MARK4 KIAA1860 MARKL1,MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1),"TISSUE SPECIFICITY: Ubiquitous. Isoform 2 is brain-specific (PubMed:11326310). Expressed at highest levels in brain and testis. Also expressed in heart, lung, liver, muscle, kidney and spleen (PubMed:14594945). {ECO:0000269|PubMed:11326310, ECO:0000269|PubMed:14594945}."
O60285,NUAK1 ARK5 KIAA0537 OMPHK1,NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1),"TISSUE SPECIFICITY: Expressed at high levels in heart and brain, and at lower levels in skeletal muscle, kidney, ovary, placenta, lung and liver. Highly up-regulated in colorectal cancer cell lines. {ECO:0000269|PubMed:14982852}."
Q8NHU3,SGMS2 SMS2,Phosphatidylcholine:ceramide cholinephosphotransferase 2 (EC 2.7.8.27) (Sphingomyelin synthase 2) (SMS2),"TISSUE SPECIFICITY: Brain, heart, kidney, liver, muscle and stomach. Also expressed in a number of cell lines such as carcinoma HeLa cells, hepatoma Hep-G2 cells, and colon carcinoma Caco-2 cells. {ECO:0000269|PubMed:14685263}."
P35916,FLT4 VEGFR3,Vascular endothelial growth factor receptor 3 (VEGFR-3) (EC 2.7.10.1) (Fms-like tyrosine kinase 4) (FLT-4) (Tyrosine-protein kinase receptor FLT4),"TISSUE SPECIFICITY: Detected in endothelial cells (at protein level). Widely expressed. Detected in fetal spleen, lung and brain. Detected in adult liver, muscle, thymus, placenta, lung, testis, ovary, prostate, heart, and kidney. {ECO:0000269|PubMed:1327515, ECO:0000269|PubMed:20224550, ECO:0000269|PubMed:7675451}."
Q9P1W9,PIM2,Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Pim-2h),"TISSUE SPECIFICITY: Highly expressed in hematopoietic tissues, in leukemic and lymphoma cell lines, testis, small intestine, colon and colorectal adenocarcinoma cells. Weakly expressed in normal liver, but highly expressed in hepatocellular carcinoma tissues. {ECO:0000269|PubMed:18675992}."
Q9UKI8,TLK1 KIAA0137,Serine/threonine-protein kinase tousled-like 1 (EC 2.7.11.1) (PKU-beta) (Tousled-like kinase 1),"TISSUE SPECIFICITY: Widely expressed. Present in fetal placenta, liver, kidney and pancreas but not heart or skeletal muscle. Also found in adult cell lines. Isoform 3 is ubiquitously expressed in all tissues examined. {ECO:0000269|PubMed:10588641, ECO:0000269|PubMed:9427565}."
Q13572,ITPK1,"Inositol-tetrakisphosphate 1-kinase (EC 2.7.1.134) (Inositol 1,3,4-trisphosphate 5/6-kinase) (Inositol-triphosphate 5/6-kinase) (Ins(1,3,4)P(3) 5/6-kinase) (EC 2.7.1.159)","TISSUE SPECIFICITY: Expressed in brain > heart > skeletal muscle = kidney = pancreas = liver = placenta > lung. In brain, it is expressed in cerebellum, cerebral cortex, medulla, spinal cord, occipital lobe, frontal lobe, temporal lobe and putamen. {ECO:0000269|PubMed:8662638}."
A4D2B8,PMS2P1 PMS2L1 PMS2L13 PMS2L6 PMS2L8 PMS3 PMS8 PMSR2,Putative postmeiotic segregation increased 2-like protein 1 (PMS2-related protein 2) (Postmeiotic segregation increased 2-like protein 13) (Postmeiotic segregation increased 2-like protein 6) (Postmeiotic segregation increased 2-like protein 8) (Postmeiotic segregation increased protein 3) (hPMS3) (Postmeiotic segregation increased protein 8) (Putative postmeiotic segregation increased 2 pseudogene 1),"TISSUE SPECIFICITY: Highly expressed in kidney, spleen, adrenal gland, ovary and cerebellum and to a lower extent in liver, esophagus, stomach, duodenum, colon, bladder, uterus, lung, pancreas and cerebrum. Not expressed in heart. {ECO:0000269|PubMed:10101297}."
Q9NRA0,SPHK2 SK2,Sphingosine kinase 2 (SK 2) (SPK 2) (EC 2.7.1.91),"TISSUE SPECIFICITY: Mainly expressed in adult kidney, liver, and brain (PubMed:10751414). Expressed in cerebral cortex and hippocampus (at protein level) (PubMed:29615132). Isoform 1 is the predominant form expressed in most tissues (PubMed:16103110). {ECO:0000269|PubMed:10751414, ECO:0000269|PubMed:16103110, ECO:0000269|PubMed:29615132}."
P32189,GK,Glycerol kinase (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase),TISSUE SPECIFICITY: [Isoform 2]: Widely expressed in fetal and adult tissues. {ECO:0000269|PubMed:15845384}.; TISSUE SPECIFICITY: [Isoform 3]: Widely expressed in fetal and adult tissues. {ECO:0000269|PubMed:15845384}.; TISSUE SPECIFICITY: [Isoform 4]: The sole isoform expressed in adult liver and kidney. {ECO:0000269|PubMed:15845384}.
Q9BXM7,PINK1,"Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)","TISSUE SPECIFICITY: Highly expressed in heart, skeletal muscle and testis, and at lower levels in brain, placenta, liver, kidney, pancreas, prostate, ovary and small intestine. Present in the embryonic testis from an early stage of development. {ECO:0000269|PubMed:11494141}."
Q9H422,HIPK3 DYRK6 FIST3 PKY,Homeodomain-interacting protein kinase 3 (EC 2.7.11.1) (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Homolog of protein kinase YAK1),"TISSUE SPECIFICITY: Overexpressed in multidrug resistant cells. Highly expressed in heart and skeletal muscle, and at lower levels in placenta, pancreas, brain, spleen, prostate, thymus, testis, small intestine, colon and leukocytes. Not found in liver and lung. {ECO:0000269|PubMed:11034606, ECO:0000269|PubMed:9373137, ECO:0000269|PubMed:9725910}."
O00141,SGK1 SGK,Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1),"TISSUE SPECIFICITY: Expressed in most tissues with highest levels in the pancreas, followed by placenta, kidney and lung. Isoform 2 is strongly expressed in brain and pancreas, weaker in heart, placenta, lung, liver and skeletal muscle. {ECO:0000269|PubMed:10548550, ECO:0000269|PubMed:18753299}."
O43683,BUB1 BUB1L,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A),"TISSUE SPECIFICITY: High expression in testis and thymus, less in colon, spleen, lung and small intestine. Expressed in fetal thymus, bone marrow, heart, liver, spleen and thymus. Expression is associated with cells/tissues with a high mitotic index."
Q96BR1,SGK3 CISK SGKL,Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like),"TISSUE SPECIFICITY: Expressed in most tissues with highest levels in pancreas, kidney liver, heart and brain and lower levels in lung, placenta and skeletal muscle. Expression is higher in ER-positive breast tumors than ER-negative breast tumors. {ECO:0000269|PubMed:21084382}."
Q12866,MERTK MER,Tyrosine-protein kinase Mer (EC 2.7.10.1) (Proto-oncogene c-Mer) (Receptor tyrosine kinase MerTK),"TISSUE SPECIFICITY: Not expressed in normal B- and T-lymphocytes but is expressed in numerous neoplastic B- and T-cell lines. Highly expressed in testis, ovary, prostate, lung, and kidney, with lower expression in spleen, small intestine, colon, and liver."
Q9BYT3,STK33,Serine/threonine-protein kinase 33 (EC 2.7.11.1),"TISSUE SPECIFICITY: Highly expressed in testis, fetal lung and heart, followed by pituitary gland, kidney, interventricular septum, pancreas, heart, trachea, thyroid gland and uterus. Weak hybridization signals were observed in the following tissues: amygdala, aorta, esophagus, colon ascending, colon transverse, skeletal muscle, spleen, peripheral blood leukocyte, lymph node, bone marrow, placenta, prostate, liver, salivary gland, mammary gland, some tumor cell lines, fetal brain, fetal liver, fetal spleen and fetal thymus. No signal at all was detectable in RNA from tissues of the nervous system. {ECO:0000269|PubMed:11738831, ECO:0000269|PubMed:16176263}."
Q9UBF8,PI4KB PIK4CB,Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67) (NPIK) (PI4K92) (PI4KIII),"TISSUE SPECIFICITY: Widely expressed with highest levels in heart, skeletal muscle, pancreas, testis and ovary. Weakly expressed in liver (PubMed:9020160, PubMed:9405935, PubMed:9405938). Expressed in the innear ear in the epithelium of the spinal organ of corti. {ECO:0000269|PubMed:33358777, ECO:0000269|PubMed:9020160, ECO:0000269|PubMed:9405935, ECO:0000269|PubMed:9405938}."
Q16832,DDR2 NTRKR3 TKT TYRO10,"Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)","TISSUE SPECIFICITY: Detected in osteocytes, osteoblastic cells in subchondral bone, bone lining cells, tibia and cartilage (at protein level). Detected at high levels in heart and lung, and at low levels in brain, placenta, liver, skeletal muscle, pancreas, and kidney. {ECO:0000269|PubMed:17665456, ECO:0000269|PubMed:20564243, ECO:0000269|PubMed:8247548}."
Q96T60,PNKP,Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)],"TISSUE SPECIFICITY: Expressed in many tissues with highest expression in spleen and testis, and lowest expression in small intestine (PubMed:10446192). Expressed in higher amount in pancreas, heart and kidney and at lower levels in brain, lung and liver (PubMed:10446193). {ECO:0000269|PubMed:10446192, ECO:0000269|PubMed:10446193}."
P07948,LYN JTK8,Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn),"TISSUE SPECIFICITY: Detected in monocytes (at protein level). Detected in placenta, and in fetal brain, lung, liver and kidney. Widely expressed in a variety of organs, tissues, and cell types such as epidermoid, hematopoietic, and neuronal cells. Expressed in primary neuroblastoma tumors. {ECO:0000269|PubMed:3561390, ECO:0000269|PubMed:8064233}."
Q5TCY1,TTBK1 BDTK KIAA1855,Tau-tubulin kinase 1 (EC 2.7.11.1) (Brain-derived tau kinase),"TISSUE SPECIFICITY: Expressed in the brain, particularly in cortical and hippocampal neurons. Weakly expressed in spinal cord and testis. No expression in adipose tissue, bladder, cervix, colon, esophagus, heart, kidney, liver, lung, ovary, placenta, prostate, skeletal muscle, small intestine, spleen, testis, thymus, thyroid or trachea. {ECO:0000269|PubMed:16923168}."
Q86Y07,VRK2,Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2),"TISSUE SPECIFICITY: Isoform 1 and isoform 2 are expressed in various tumor cell lines. Expression of isoform 1 inversely correlates with ERBB2 in breast carcinomas (at protein level). Widely expressed. Highly expressed in fetal liver, skeletal muscle, pancreas, heart, peripheral blood leukocytes and testis. {ECO:0000269|PubMed:16704422, ECO:0000269|PubMed:20679487, ECO:0000269|PubMed:9344656}."
P48730,CSNK1D HCKID,Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26),"TISSUE SPECIFICITY: Expressed in all tissues examined, including brain, heart, lung, liver, pancreas, kidney, placenta and skeletal muscle. However, kinase activity is not uniform, with highest kinase activity in splenocytes. In blood, highly expressed in hemopoietic cells and mature granulocytes. Also found in monocytes and lymphocytes. {ECO:0000269|PubMed:15070676, ECO:0000269|PubMed:16027726}."
Q8TF76,HASPIN GSG2,Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase),"TISSUE SPECIFICITY: Strongly expressed in testis. Also present in thymus and bone marrow and low levels observed in prostate, intestine, lung, spleen and lymph node. Expressed in fetal skin, liver, kidney and small intestine and also in proliferating but not non-proliferating cell lines. {ECO:0000269|PubMed:11228240, ECO:0000269|PubMed:11311556}."
P06213,INSR,Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta],"TISSUE SPECIFICITY: Isoform Long and isoform Short are predominantly expressed in tissue targets of insulin metabolic effects: liver, adipose tissue and skeletal muscle but are also expressed in the peripheral nerve, kidney, pulmonary alveoli, pancreatic acini, placenta vascular endothelium, fibroblasts, monocytes, granulocytes, erythrocytes and skin. Isoform Short is preferentially expressed in fetal cells such as fetal fibroblasts, muscle, liver and kidney. Found as a hybrid receptor with IGF1R in muscle, heart, kidney, adipose tissue, skeletal muscle, hepatoma, fibroblasts, spleen and placenta (at protein level). Overexpressed in several tumors, including breast, colon, lung, ovary, and thyroid carcinomas. {ECO:0000269|PubMed:10207053, ECO:0000269|PubMed:2369896, ECO:0000269|PubMed:9202395, ECO:0000269|PubMed:9355755}."
P36888,FLT3 CD135 FLK2 STK1,Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135),"TISSUE SPECIFICITY: Detected in bone marrow, in hematopoietic stem cells, in myeloid progenitor cells and in granulocyte/macrophage progenitor cells (at protein level). Detected in bone marrow, liver, thymus, spleen and lymph node, and at low levels in kidney and pancreas. Highly expressed in T-cell leukemia. {ECO:0000269|PubMed:18490735, ECO:0000269|PubMed:7507245, ECO:0000269|PubMed:8394751, ECO:0000269|PubMed:8637232}."
Q09013,DMPK DM1PK MDPK,Myotonin-protein kinase (MT-PK) (EC 2.7.11.1) (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase),"TISSUE SPECIFICITY: Most isoforms are expressed in many tissues including heart, skeletal muscle, liver and brain, except for isoform 2 which is only found in the heart and skeletal muscle, and isoform 14 which is only found in the brain, with high levels in the striatum, cerebellar cortex and pons. {ECO:0000269|PubMed:7488138}."
Q86V86,PIM3,Serine/threonine-protein kinase pim-3 (EC 2.7.11.1),"TISSUE SPECIFICITY: Detected in various tissues, including the heart, brain, lung, kidney, spleen, placenta, skeletal muscle, and peripheral blood leukocytes. Not found or barely expressed in the normal adult endoderm-derived organs such as colon, thymus, liver, or small intestine. However, expression is augmented in premalignant and malignant lesions of these organs. {ECO:0000269|PubMed:15540201, ECO:0000269|PubMed:16818649, ECO:0000269|PubMed:17270021}."
P12931,SRC SRC1,Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src),"TISSUE SPECIFICITY: Expressed ubiquitously. Expressed in the skin (at protein level) (PubMed:22294297). Platelets, neurons and osteoclasts express 5-fold to 200-fold higher levels than most other tissues. {ECO:0000269|PubMed:22294297}.; TISSUE SPECIFICITY: [Isoform 1]: Expressed in spleen and liver. {ECO:0000269|PubMed:8319227}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in brain. {ECO:0000269|PubMed:8319227}.; TISSUE SPECIFICITY: [Isoform 3]: Expressed in brain. {ECO:0000269|PubMed:8319227}."
P08581,MET,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met),"TISSUE SPECIFICITY: Expressed in normal hepatocytes as well as in epithelial cells lining the stomach, the small and the large intestine. Found also in basal keratinocytes of esophagus and skin. High levels are found in liver, gastrointestinal tract, thyroid and kidney. Also present in the brain. Expressed in metaphyseal bone (at protein level) (PubMed:26637977). {ECO:0000269|PubMed:1719465, ECO:0000269|PubMed:1917129, ECO:0000269|PubMed:26637977}."
P19525,EIF2AK2 PKR PRKR,"Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)","TISSUE SPECIFICITY: Highly expressed in thymus, spleen and bone marrow compared to non-hematopoietic tissues such as small intestine, liver, or kidney tissues. Colocalizes with GSK3B and TAU in the Alzheimer disease (AD) brain. Elevated levels seen in breast and colon carcinomas, and which correlates with tumor progression and invasiveness or risk of progression. {ECO:0000269|PubMed:21029237, ECO:0000269|PubMed:23403623}."
Q9H4B4,PLK3 CNK FNK PRK,Serine/threonine-protein kinase PLK3 (EC 2.7.11.21) (Cytokine-inducible serine/threonine-protein kinase) (FGF-inducible kinase) (Polo-like kinase 3) (PLK-3) (Proliferation-related kinase),"TISSUE SPECIFICITY: Transcripts are highly detected in placenta, lung, followed by skeletal muscle, heart, pancreas, ovaries and kidney and weakly detected in liver and brain. May have a short half-live. In cells of hematopoietic origin, strongly and exclusively detected in terminally differentiated macrophages. Transcript expression appears to be down-regulated in primary lung tumor."
P16591,FER TYK3,Tyrosine-protein kinase Fer (EC 2.7.10.2) (Feline encephalitis virus-related kinase FER) (Fujinami poultry sarcoma/Feline sarcoma-related protein Fer) (Proto-oncogene c-Fer) (Tyrosine kinase 3) (p94-Fer),"TISSUE SPECIFICITY: Isoform 1 is detected in normal colon and in fibroblasts (at protein level). Isoform 3 is detected in normal testis, in colon carcinoma-derived metastases in lung, liver and ovary, and in colon carcinoma and hepato carcinoma cell lines (at protein level). Isoform 3 is not detected in normal colon or in normal fibroblasts (at protein level). Widely expressed. {ECO:0000269|PubMed:18985748, ECO:0000269|PubMed:2156206, ECO:0000269|PubMed:22223638}."
P17948,FLT1 FLT FRT VEGFR1,Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor),"TISSUE SPECIFICITY: Detected in normal lung, but also in placenta, liver, kidney, heart and brain tissues. Specifically expressed in most of the vascular endothelial cells, and also expressed in peripheral blood monocytes. Isoform 2 is strongly expressed in placenta. Isoform 3 is expressed in corneal epithelial cells (at protein level). Isoform 3 is expressed in vascular smooth muscle cells (VSMC). {ECO:0000269|PubMed:18515749, ECO:0000269|PubMed:20512933}."
Q96SB4,SRPK1,SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1),"TISSUE SPECIFICITY: Isoform 2 is predominantly expressed in the testis but is also present at lower levels in heart, ovary, small intestine, liver, kidney, pancreas and skeletal muscle. Isoform 1 is only seen in the testis, at lower levels than isoform 2. Highly expressed in different erythroid and lymphoid cell lines, with isoform 2 being far more abundant than isoform 1. {ECO:0000269|PubMed:10390541, ECO:0000269|PubMed:11509566, ECO:0000269|PubMed:20708644}."
